False: Rail Tanker Stamped With 'COVID-19',https://www.boomlive.in/world/coronavirus/false-rail-tanker-stamped-with-covid-19-7397,Rail freight tanker is stamped with COVID-19.,FALSE,Social Media users,,FALSE
Australia's Department of Health did not issue a warning that 'using petrol pumps can spread COVID-19',https://factcheck.afp.com/australias-department-health-did-not-issue-warning-using-petrol-pumps-can-spread-covid-19,Australian hospitals issued a warning over petrol pumps’ role in COVID-19 spread,FALSE,Multiple sources,,FALSE
Fake Graphic Claims Amit Shah Tests Positive For Coronavirus,https://www.boomlive.in/fake-news/fake-graphic-claims-amit-shah-tests-positive-for-coronavirus-7393,Amit Shah tests positive for COVID-19,FALSE,Social Media,,FALSE
Corona Outbreak: Did Zimbabwe Police Beat Up Churchgoers?,https://www.boomlive.in/world/coronavirus/corona-outbreak-did-zimbabwe-police-beat-up-churchgoers-7392,Police in Zimbabwe beating churchgoers because their place of worship refused to close to prevent the spread of COVID-19,FALSE,Facebook,,FALSE
False claim circulates online that certain countries in Asia are using helicopters to spray 'COVID-19 disinfectant',https://factcheck.afp.com/false-claim-circulates-online-certain-countries-asia-are-using-helicopters-spray-covid-19,Air forces in Sri Lanka and the Philippines are spraying COVID-19 disinfectant from military helicopters,FALSE,Multiple sources,,FALSE
Did Millions of Canceled Cellphones Reveal Unreported ...,https://www.snopes.com/fact-check/china-cellphones-coronavirus/,A drop of 21 million cellphone subscribers in China in early 2020 documents that the death toll from COVID-19 was vastly underreported in that country.,Snopes.Unproven,,,unverified
VERA FILES FACT CHECK: Posts showing 'Italian army' moving COVID-19 corpses FALSELY use photos from France,https://verafiles.org/articles/vera-files-fact-check-posts-showing-italian-army-moving-covi,Photo shows army trucks in Italy carrying bodies of fatalities from coronavirus disease or COVID-19,FALSE,Multiple FB netizens,,FALSE
Viral audio falsely claims 59 positive coronavirus cases in Nagpur,https://www.altnews.in/fake-audio-clip-claims-59-people-test-positive-for-coronavirus-in-nagpur/,"Covid-19 positive cases in Nagapur reach 59, a team from Sweden coming to Nagpur to conduct tests",FALSE,Social Media,,FALSE
"VERA FILES FACT CHECK: FB posts about coronavirus dead in Italy MISLEAD with old, unrelated photo",https://verafiles.org/articles/vera-files-fact-check-fb-posts-about-coronavirus-dead-italy,FB post warning people to stay at home during COVID pandemic carries photo of coffins in 'Italy',Misleading,Multiple FB netizens,,FALSE
Fact Check: Viral post saying Italian PM surrendered to Covid-19 is fake,https://www.indiatoday.in/fact-check/story/fact-check-viral-post-saying-italian-pm-surrendered-to-covid-19-is-fake-1660310-2020-03-27,Italian PM said that the country has surrendered to the Covid-19 pandemic,Mostly false,Social media users,,FALSE
A vaccine for COVID-19 is not about to hit shelves,https://www.aap.com.au/a-vaccine-for-covid-19-is-not-about-to-hit-shelves/,A new vaccine for COVID-19 has been developed.,False - The primary claim of the content is false.,,,FALSE
