1,"1:30 PM · Jan 22, 2020",TRUE,Reuters,A U.S. resident who recently traveled to China has been diagnosed with the newly identified Wuhan coronavirus that has sickened more than 300 people and killed at least six in China, 
2,"10:23 AM · Jan 22, 2020",TRUE,CNBC Now,More than 440 cases of coronavirus are now confirmed in China and the death toll from the outbreak has risen to 9 people, 
3,"1:21 PM · Jan 22, 2020",TRUE,Lancy是小挪扎呀,"While focusing on Coronavirus Pneumonia in #Wuhan, US is still taking a blind eye on their influenza with a high fatality rate", 
4,"1:11 PM · Jan 22, 2020",TRUE,Travel'n Man,CDC expanding coronavirus screening to two more airports: Atlanta and Chicago O'Hare, 
5,"1:47 PM · Jan 22, 2020",TRUE,Chun Han Wong,"Taiwan President Tsai @iingwen has weighed in, urging the @WHO not to exclude Taiwan over ""political factors."" She also called on China to handle the #WuhanCoronavirus outbreak in an open and transparent manner", 
6,"12:01 PM · Jan 22, 2020",TRUE,William Yang,"Tsai emphasized that based on the experience of combating SARS, she is confident that #Taiwan has established a comprehensive mechanism to combat the #WuhanCoronavirus. She says #Taiwan's airports have adopted very strict measures to screen passengers arriving from #China.", 
7,"11:40 AM · Jan 22, 2020",TRUE,Nikki,"#WuhanCoronavirus has spread to #Macau, a 52 yr-old female from #Wuhan had diagnosed with the virus and is now isolated and receiving medical treatment. The patient spent most of her time staying in casino.", 
8,"5:03 AM · Jan 23, 2020",TRUE,~GogoIV~,this koronavirus it's a deadly disease and it's already spreading far don't go out without having a breath mask, 
9,"5:35 AM · Jan 23, 2020",TRUE,Nikki,"CDCgov  confirmed the first case of #WuhanCoronavirus, patient is still hospitalising", 
10,"5:51 AM · Jan 23, 2020",TRUE,Daily Tribune,Dingell pens a letter to CDC with questions on airport travel concerns and virus outbreak, 
11,"11:19 PM · Jan 22, 2020",TRUE,TXST News,TXST_CLS  professor and program chair Dr.  RodneyRohde  discusses the first case of #coronavirus in the US, 
12,"1:07 AM · Jan 21, 2020",TRUE,CDC,"CDC is closely monitoring an outbreak of 2019 novel #coronavirus in Wuhan, China", 
13,"5:40 AM · Jan 23, 2020",TRUE,Dr. Robert R. Redfield,"Learn the warning signs of a severe flu infection in children, and seek immediate medical attention if your child shows any of these symptoms", 
14,"6:00 PM · Jan 22, 2020",TRUE,Tearsa Smith,CDC adds health entry screenings at Atlanta airport due to coronavirus, 
15,"2:45 AM · Jan 23, 2020",TRUE,AMA,"As news of #coronavirus (2019-nCoV) continues to develop, @CDCgov is providing guidance to health care providers on how to best identify and report cases of the virus.", 
16,"2:12 AM · Jan 23, 2020",TRUE,CDC Cancer,My annual checkup saved my life.” Read Janna’s #CervicalCancer survivor story, 
17,"4:31 AM · Jan 23, 2020",TRUE,Steve Lookner,UK is now advising against all non-essential travel to Wuhan, 
18,"5:25 AM · Jan 23, 2020",TRUE,Tamra E. Raven,this is an emerging world health issue that scientists are addressing and sharing information, 
19,"11:19 PM · Jan 22, 2020",TRUE,NICOLE,"Folks in France, a Chinese tourist with fever from #Wuhan took meds to lower body temp so as to get through the check in immigration. The gates in France seemed not to be treating these cases with pre-caution", 
20,"3:00 AM · Jan 23, 2020",TRUE,Eunice Yoon,"All public transport in Wuhan -local buses, long-distanced buses, subway, ferry -temporarily closed starting 10am #China time Thu (9pm ET Wed), state media reports. All flights, trains set to depart Wuhan also temporarily canceled", 
21,"1:00 AM · Jan 23, 2020",TRUE,National Geographic Magazine,"The disease has spread to major cities in China as well as to neighboring Taiwan, Thailand, Japan, and South Korea", 
22,"5:59 AM · Jan 23, 2020",TRUE,NOVA | PBS,"On Tuesday, American health officials confirmed the nation’s first case of the novel coronavirus.", 
23,"8:53 PM · Jan 21, 2020",TRUE,Nicholas Ramos,Airline industry was already fragile now they have an epidemic on their hands, 
24,"2:25 PM · Jan 23, 2020",TRUE,Gaardo,The streets in Wuhan are almost empty, 
25,"1:36 PM · Jan 23, 2020",TRUE,Jack M. Posobiec,No one is allowed to leave Wuhan, 
26,"1:45 AM · Jan 24, 2020",TRUE,CNN International,"Two cases of Wuhan coronavirus in Hong Kong have been confirmed, according to a statement from Hong Kong’s Department of Health on Thursday", 
27,"6:49 PM · Jan 23, 2020",TRUE,Laurie Chen,"a Wuhan woman with mild fever symptoms took meds to bring her temp down, passed screening at customs, flew to France, ate at a Michelin-starred restaurant -- and bragged about it all on WeChat. She was shamed on social media & the Chinese Embassy tracked her down.", 
28,"6:06 PM · Jan 24, 2020",TRUE,Avi Yemini,"This is Wuhan right now, in armed lockdown.", 
29,"11:20 AM · Jan 24, 2020",TRUE,Daily Mail Online,China built a lab to study SARS and Ebola in Wuhan - and US biosafety experts warned in 2017 that a virus could 'escape' the facility located in the same city at the coronavirus outbreak's center, 
30,"6:43 PM · Jan 24, 2020",TRUE,Xinqi Su,China deploys military medics to fight #cNoV2019 - @CCTV reported. 40 military doctors and nurses in Wuhan have been sent to the ICU of Wuhan Lung Disease Hospital., 
31,"6:50 PM · Jan 24, 2020",TRUE,CGTN,"Construction began on the night of January 23 for a new specialized hospital for #coronavirus patients in central China's #Wuhan City. The hospital is designed to have an area of 25,000 square meters with 1,000 beds and will be put into use by February 3", 
32,"6:50 PM · Jan 24, 2020",TRUE,SCMP News,China sends in military medics to help Wuhan hospitals fight coronavirus outbreak, 
33,"2:03 PM · Jan 24, 2020",TRUE,Max Walden,Singapore confirms first case of Wuhan virus, 
34,"2:33 AM · Jan 25, 2020",TRUE,李希,Now the doctors for military all over China is coming for Wuhan, 
35,"9:59 AM · Jan 25, 2020",TRUE,Barbara,"Breaking! Chinese city of Wuhan, population 11 million, under quarantine due to Coronavirus. Many deaths and new cases reported worldwide", 
36,"9:52 AM · Jan 25, 2020",TRUE,𝕔hi𝓁𝓁iຖ໐iˢ,"Liang Wudong, a doctor at Hubei Xinhua Hospital and on the front line of the Coronavirus outbreak in Wuhan, has died from the virus at age 62.", 
37,"10:57 PM · Jan 23, 2020",TRUE,ทท.,Singapore confirms first case of Wuhan virus, 
38,"11:20 PM · Jan 24, 2020",TRUE,CNW,A Chinese army (PLA) medical team has departed from Shanghai going to Wuhan to help deal with the outbreak of the Coronavirus, 
39,"4:57 AM · Jan 26, 2020",TRUE,Tom Quiggin,The USA has decided to evacuate it diplomatic staff from the Consulate in Wuhan City., 
40,"8:41 PM · Jan 26, 2020",TRUE,Luthfi Anshari,All international flight from Wuhan is either unknown or canceled. But then there is one departed to DPS, 
41,"9:08 PM · Jan 25, 2020",TRUE,amir 1,This is one of the main reason why Wuhan Virus is so dangerous. The incubation period tend to be longer than normal flu and there's no way to know you've been infected until you're getting checked or the symptoms start to show up, 
42,"12:22 AM · Jan 25, 2020",TRUE,Ren Minghui 任明辉,Hundreds of doctors and nurses are leaving their families from #Shanghai #Guangdong #xian for #WuhanCoronavirus in the eve of #ChineseNewYear, 
43,"8:57 PM · Jan 26, 2020",TRUE,The Peach,"Coronavirus ability to spread increasing, China’s health minister says", 
44,"8:54 PM · Jan 26, 2020",TRUE,ｒｅｎCBR250RRふぁぼ魔のもるさん,"There are already many doctors and nurses, also many masks and other medical facilities are sent to Wuhan. And the relevant institute are trying their best to search for vaccines.", 
45,"8:53 PM · Jan 26, 2020",TRUE,Pegas D,"Shopping with a face mask, getting screened for fever — they're some of the challenges posed by the Wuhan coronavirus.", 
46,"9:15 AM · Jan 26, 2020",TRUE,Koreaboo,Super Junior Fan From Wuhan Reveals Having Attended Macau Concerts And Warns Others Of Potential Contagion, 
47,"5:36 PM · Jan 26, 2020",TRUE,CNN Philippines,"A new case of coronavirus has been confirmed in Southern California, making it the third person to test positive", 
48,"3:54 PM · Jan 27, 2020",TRUE,Vincent Lee,WUHAN MAYOR ZHOU XIANWANG SAYS HE WOULD BE WILLING TO RESIGN AS A FORM OF APOLOGY IF IT HELPS CONTAIN THE SPREAD OF THE VIRUS, 
49,"3:59 PM · Jan 27, 2020",TRUE,Metro Roofing Inc.,Stay safe we are all praying for Wuhan, 
50,"3:57 PM · Jan 27, 2020",TRUE,CNN International,Chinese Premier Li Keqiang arrived in Wuhan on Monday and is touring hospitals, 
51,"9:32 PM · Jan 26, 2020",TRUE,MPM UTM,stays safe during the Corona Virus Outbreak, 
52,"3:50 PM · Jan 27, 2020",TRUE,RT,Chinese Premier Li Keqiang arrives in #coronavirus outbreak epicenter #Wuhan to supervise epidemic control efforts, 
53,"3:22 PM · Jan 27, 2020",TRUE,Stephen McDonell,The government in #Wuhan has announced a temporary halt to the issuing of documents for the city’s residents wanting to leave #China until the #coronavirus emergency is under control., 
54,"7:31 AM · Jan 28, 2020",TRUE,ONT Airport,"Ontario International Airport (ONT) is working closely with our federal, state, county and city partners to plan for the possibility of a flight carrying U.S. government officials and private citizens returning this week from Wuhan, China.", 
55,"9:58 AM · Jan 28, 2020",TRUE,"Yun-Hee Kim",Concerns about the deadly new coronavirus are rising as cases spread. Scientists are racing to learn more about risks., 
56,"12:00 AM · Jan 28, 2020",TRUE,CGTN,"Residents of a community in #Wuhan, who have been kept at home for days by a #CoronavirusOutbreak, show support for each other by shouting ""Stay strong Wuhan!"" from their balconies", 
57,"4:21 AM · Jan 28, 2020",TRUE,Nature,"A new virus, originating from Wuhan in China, is quickly spreading across the country and around the world", 
58,"7:31 AM · Jan 28, 2020",TRUE,Eunice Yoon,"“On our delayed release of information, I hope we can be understood. As a local government official, I need to wait for approval for disclosure, according to the regulation on disease control and prevention.”", 
59,"9:52 AM · Jan 28, 2020",TRUE,KPIX 5,"A flight carrying passengers from Wuhan, China to San Francisco will not land at San Francisco International Airport amid concerns over the coronavirus, airport officials confirmed Monday", 
60,"2:51 AM · Jan 28, 2020",TRUE,Minh Ngo,People in Wuhan are self-quarantined because of the #coronavirus outbreak, 
61,"8:24 AM · Jan 28, 2020",TRUE,Eric Cheung,"All #HongKong public sports centres, libraries, and museums will be closed from today due to the Wuhan coronavirus, the gov't announced overnight", 
62,"9:55 AM · Jan 28, 2020",TRUE,Charles Mok 莫乃光,WHO corrects China virus global risk level, 
63,"1:22 AM · Jan 28, 2020",TRUE,ʚ☾ɞ,"on the 26th, xukun donated 600.000 rmb (equal to $86500 usd) to 湖北省红十字会 in hubei, regarding the current situation in wuhan ", 
64,"9:25 AM · Jan 28, 2020",TRUE,Reuters,Japan will not fly back nationals from Wuhan on Tuesday, 
